variable,alcohol_category,category,estimate,se,p_overall,n_unweighted
bmi_category,Binge drinker,Obese,0.41825085756364633,0.024379472323325383,0.16552796147196835,1420
diabetes,Non-drinker,No,0.8694112710747927,0.028843820313946025,0.0029297151074274145,564
diabetes,Drinkers (non-binge),No,0.8734395811589325,0.011713410993001563,0.0029297151074274145,1986
diabetes,Binge drinker,No,0.9385708512522912,0.008638582159535222,0.0029297151074274145,1408
diabetes,Non-drinker,Yes,0.13058872892520723,0.028843820313946028,0.0029297151074274145,564
diabetes,Drinkers (non-binge),Yes,0.12656041884106756,0.011713410993001563,0.0029297151074274145,1986
diabetes,Binge drinker,Yes,0.0614291487477088,0.00863858215953522,0.0029297151074274145,1408
hypertension,Non-drinker,No,0.7062701343979447,0.03226610489258558,1.9155666340150027e-4,583
hypertension,Drinkers (non-binge),No,0.6593491881214457,0.021716105335819164,1.9155666340150027e-4,2052
hypertension,Binge drinker,No,0.7620422622204083,0.014053920425707307,1.9155666340150027e-4,1434
hypertension,Non-drinker,Yes,0.2937298656020553,0.03226610489258558,1.9155666340150027e-4,583
hypertension,Drinkers (non-binge),Yes,0.34065081187855434,0.021716105335819164,1.9155666340150027e-4,2052
hypertension,Binge drinker,Yes,0.23795773777959167,0.014053920425707307,1.9155666340150027e-4,1434
heart_disease,Non-drinker,No,0.9463807335897855,0.01324237507303525,0.021428731602597353,503
heart_disease,Drinkers (non-binge),No,0.9255137070335238,0.008802351669279477,0.021428731602597353,1968
heart_disease,Binge drinker,No,0.9544809900018827,0.007980405819844922,0.021428731602597353,1350
heart_disease,Non-drinker,Yes,0.0536192664102145,0.01324237507303525,0.021428731602597353,503
heart_disease,Drinkers (non-binge),Yes,0.07448629296647626,0.008802351669279479,0.021428731602597353,1968
heart_disease,Binge drinker,Yes,0.045519009998117296,0.00798040581984492,0.021428731602597353,1350
arthritis,Non-drinker,No,0.7635071046032449,0.03383160681062348,2.813319104910178e-4,506
arthritis,Drinkers (non-binge),No,0.6879786499260278,0.02803096119508503,2.813319104910178e-4,1973
arthritis,Binge drinker,No,0.8147196812658438,0.014536292593901906,2.813319104910178e-4,1357
